R,F,M
820,1,99
728,1,4796
891,1,9.9
620,1,1526
894,1,39.9
894,1,29
618,2,4028
889,1,19
738,1,534
649,1,79
609,1,3588
764,17,20462.6
691,1,89
824,1,267
690,1,35
796,1,2599
929,3,206
644,1,316
629,1,155
666,1,2888
712,1,99
750,1,98
677,1,96
654,1,6398
665,1,109
877,1,294.9
930,3,3377.5
745,1,168
755,1,639
868,1,19
783,1,3799
710,1,159
868,1,539
817,1,119
689,1,11
767,1,18.2
685,1,201.9
731,1,2969
807,1,119
663,3,3506
627,1,688
682,1,98
644,1,118
612,1,88
916,4,5435
886,1,999
895,1,259
809,1,99
726,1,99
733,2,278
762,1,98
826,1,99
816,1,2499
685,1,799
759,2,98
895,1,3888
779,1,59
689,1,989
923,3,1456
735,1,79
739,1,69
696,1,145
886,1,899
655,1,179
917,8,11899.4
899,1,199
723,1,358
705,1,1555
889,1,998
859,1,9
753,1,1298
758,2,1598
609,8,5832
692,5,2659.8
625,3,1698.9
749,5,3307.8
730,1,807.7
736,1,58
616,20,22876.6
692,1,598
659,1,698
661,2,398
762,2,97
734,1,99
764,1,129
892,1,4999
654,1,398
881,1,3588
788,1,1599
718,1,289
724,1,2288
793,1,35.9
709,1,39.9
611,1,3588
778,1,238
875,1,96
724,2,118
718,1,9.9
645,1,3999
879,1,99.2
716,1,178
752,1,109
626,1,69
677,1,2698
687,1,39
865,1,79
915,4,1009
957,1,89
940,1,4799
922,1,989
807,1,9.9
694,1,1518
626,1,99
736,1,49
714,1,3966
629,1,29
723,1,98
661,1,69
765,1,184
755,1,99
679,1,175
656,2,627
924,3,6677
807,1,1199
704,4,4798
764,1,96
898,1,49
744,1,88
770,1,5
801,1,158
658,1,218
883,1,699
812,2,225
734,1,811.9
676,1,152
675,1,49
673,1,10.1
672,1,75
671,1,669
670,1,1460
669,1,95
668,1,88
667,1,49
913,4,276.8
775,3,58.8
661,2,720
897,1,99
894,1,120
611,1,19
709,1,99
866,1,1586
773,1,99
610,1,59
759,1,59
788,6,1627.4
923,3,175.9
707,1,699
696,1,15.9
648,1,75
719,4,856.9
731,1,1399
766,1,668
787,2,98.9
609,2,14207
771,2,247
724,1,45
893,1,199
897,1,96
610,2,40.2
646,2,168.9
754,1,3199
821,1,478
628,1,29.9
742,1,989
744,1,39
718,1,898
783,1,688
756,1,45
735,1,49
733,1,1278
685,2,29.7
781,2,178
899,1,599
860,1,599
646,1,178
707,2,4603
678,1,95.9
766,1,10799
677,1,768
795,1,95
879,1,9
889,1,199
720,1,535
761,1,279
692,2,68.2
718,1,158
923,3,4427
765,1,79
708,1,39.9
786,1,58
737,1,96
895,1,96
725,1,99.7
665,3,91
623,1,472
778,1,2569
788,1,1
689,1,268
871,1,39
872,1,96
814,1,42
747,1,898
881,1,5999
726,1,999
663,1,1398
864,1,74.4
763,1,9.9
888,1,3799
740,1,389
629,1,1279
747,1,96
725,1,72
706,2,174.9
889,1,63
755,1,71.6
678,2,1237
865,1,230
625,1,1919
664,1,499
800,1,258
698,1,18
758,1,3588
656,1,369
742,1,398
739,1,96
613,1,1199
711,1,13500
703,1,306
649,1,78
799,1,3287
899,1,308
711,1,78
745,1,303.8
787,1,2799
819,1,195
921,4,577
609,1,359
650,1,96
752,2,347
754,1,278
790,1,38
885,1,59
678,1,139
891,1,99.2
644,1,198
614,1,4599
861,1,3399
771,1,49
794,1,99
716,2,1110
686,1,198
925,3,2448
810,5,6364
713,1,96
742,1,355
623,1,29
749,1,29
765,1,813
655,1,199
915,4,777
861,1,58
786,1,96
703,2,5326
871,1,69
764,1,456
683,1,29.6
652,2,5147
668,10,15016
808,1,79
882,1,6399
609,1,899
919,4,8857.7
772,1,1699
749,3,158.8
869,1,169
632,1,289
706,1,189
870,1,99
876,1,999
699,1,288
702,1,89.9
774,1,207
733,1,299
897,1,4288
745,1,69
726,1,5
659,1,158
706,1,1
708,2,112.5
687,1,409
692,1,49
623,1,75
707,1,399
825,16,6690.7
882,1,9.9
772,1,3799
744,1,539
812,1,399
917,4,2571
776,1,99
681,1,59
631,1,188
628,4,3144.6
766,2,98
745,1,99
780,2,4998
769,1,399
609,1,453.3
757,1,925
625,3,742.5
719,2,147
869,1,2599
722,2,2496
887,1,2699
867,1,3699
926,3,1087
621,1,3
687,1,122
613,1,169
864,1,359
738,1,19.9
928,3,582.1
727,1,1496
750,7,3652.9
757,9,15454.5
683,1,558
750,2,357
897,1,79
618,1,19
706,1,297
895,1,688
646,1,139
756,1,99
660,1,108.7
732,1,10.1
878,1,1140
668,9,6844.1
760,1,199
630,1,1699
883,1,598
728,1,149
612,1,2498
739,1,18
913,4,2614.9
695,1,128
754,1,269
757,1,298
739,1,388
825,16,7751.5
749,1,2499
876,1,177.9
883,1,1799
804,1,149
863,1,4009
615,4,446
873,5,6141
776,1,96
897,1,3799
619,2,1516.9
807,1,3680
715,1,398
801,1,69
920,4,2068.9
610,1,17.9
736,1,39.9
765,1,1599
699,5,6305.7
666,1,67.8
628,1,99
820,1,96
898,1,1899
928,3,4145
662,1,640
712,1,4399
610,1,666
756,1,159
922,3,767.4
766,1,67.8
727,2,138
792,1,2899
800,1,199
780,1,3788
761,1,799
690,1,99.5
713,1,3698
810,1,199
917,4,4584
622,1,4567
629,1,49
891,1,39
729,1,1398
660,1,5288
647,2,129
647,1,87.6
810,1,5199
819,1,199
644,1,5
884,1,338
774,1,15398
808,1,69.9
786,1,5858
755,1,299
812,1,69
733,1,198
917,4,426
650,1,188
716,1,2499
771,1,3598
809,1,49.7
617,2,166.5
747,1,79
898,1,99
915,4,426.8
752,1,99
893,1,39
892,1,39
614,2,228
757,1,18
653,1,508
629,1,388
793,1,119
865,1,6399
922,3,3522
615,1,198
648,1,28
665,1,199
737,1,399
688,1,1938
624,1,39.9
768,1,1429
751,1,26.9
895,1,98
755,1,4288
770,1,99
930,3,8644.5
713,1,538
891,1,59.9
757,1,199
782,1,57
787,1,237
649,1,3758
630,1,9.9
680,1,3179
762,1,3498
799,1,45
771,1,200
696,1,298
739,1,69
914,4,1789.5
869,1,79
816,1,447
859,1,48.5
873,1,4899
749,1,3999
726,3,5736
725,1,39.9
704,1,4799
878,1,4366.9
929,3,6009
775,1,39
900,10,9793.4
930,3,3113.3
729,1,113.8
644,1,1838
680,5,12115.9
915,4,4264.7
718,1,1488
705,1,735
795,1,99
737,1,3608
658,1,67.8
653,1,109
727,1,2499
929,3,1486.7
887,1,121.7
765,1,586
657,1,119.8
667,1,268
883,1,57
895,1,10.1
793,1,3588
753,1,2098
801,1,299
896,1,99
646,1,3169
818,1,2988
874,1,175
818,1,99
809,1,429
818,1,278
783,1,458
681,1,375
922,3,315.9
740,1,45
625,1,99
818,1,199
787,1,139
777,1,1088.8
667,1,69
768,1,258
651,2,1644
699,1,89
646,1,988
877,1,5699
788,1,960
791,1,39
792,1,899
772,1,139
780,1,69
618,1,4888
886,1,998
815,1,28
612,1,99
756,1,522
721,1,299
651,1,59
754,1,48
627,1,1298
651,1,799
915,4,4918
677,2,338
616,1,2
767,1,55
687,1,19
870,1,99
704,1,448
647,1,116
721,1,69
609,1,119
886,1,177
614,1,787
741,1,138
650,1,999
718,1,3799
710,1,3499
690,1,316
802,1,69
914,4,11645.5
729,1,29
804,1,599
657,2,10796
791,1,89
760,1,99
731,1,2399
707,1,109.8
786,1,2880
805,1,2038
815,1,59
868,1,4128
881,1,499
795,1,49
792,1,189
771,1,139
914,4,2672
682,1,488
723,2,8598
802,1,3999
686,1,3588
677,1,29
636,53,57456.2
746,1,158
780,1,139
617,1,1999
703,1,1238
783,2,398
609,2,587
652,1,99.5
706,2,198
626,1,5099
696,1,39.9
629,1,2688
928,3,7164
747,1,174
751,1,389
818,1,45
738,1,36
800,1,149
922,3,436.6
896,1,399
703,1,1899
665,1,29
861,1,1699
717,1,88
704,1,29.9
818,1,49
708,1,69
809,1,36.8
813,1,99
676,1,29
663,1,368
675,1,168
674,1,439
673,1,179
672,1,79
671,1,338
670,1,10.1
669,1,95
667,1,32.2
822,1,29.9
770,1,1199
725,1,68
612,1,49
811,1,33.8
810,1,99.5
662,1,89
652,1,445
821,1,259
727,1,3799
775,1,109
800,1,269
747,1,2199
646,2,2358
661,2,108
726,1,4836
692,1,39
730,1,59
900,1,88
652,1,39
882,1,526
803,5,991.9
756,1,59
870,1,76
665,1,28.9
664,1,196
615,1,3678
928,3,5494.9
689,1,999
878,1,128
666,1,99
730,1,9
610,1,29.7
611,1,57.8
645,1,990
718,1,4488
723,1,39
925,3,199.9
899,1,799.5
725,1,139
708,1,621
872,1,2496
758,1,199
732,1,49
778,1,318
741,1,178
916,4,4172
723,1,1999
866,1,788
615,1,58
746,1,49
701,1,318
679,1,3399
769,1,380
624,1,175
665,1,4898
742,2,678
660,1,128
764,1,198
852,73,52637.4
821,1,33
722,1,75
896,1,173.8
876,1,248
742,2,100
691,1,498
918,7,3902.3
970,1,11
952,1,799.5
935,1,12.9
917,1,39
749,1,59
648,1,4288
969,1,834
690,3,1309
953,1,79
936,1,79
918,1,3966
784,1,9.9
816,1,33
661,1,2149
810,1,1499
761,1,99
690,1,198
730,1,49
741,2,194.4
776,4,4021.9
699,1,11398
922,3,576
619,1,3588
768,1,63
698,1,36
763,1,20.1
703,6,2971
684,1,1388
758,1,49
778,1,49
730,1,39
735,2,49.5
825,16,6744
892,1,95
793,1,15
749,3,665
682,1,2198
772,1,188
898,1,89
623,8,1847.4
658,1,689
700,1,277
677,1,488
658,1,29
775,1,1437
744,1,358
610,1,1
957,1,1169
738,2,116.9
806,1,39
743,4,859.8
871,1,3299
914,4,442.9
787,1,39.9
624,2,183
784,1,59
869,1,940
658,1,6088
969,1,25.9
952,1,72.9
935,1,9.9
917,1,259
717,3,4346
819,1,399
796,1,12.9
742,1,9.9
657,1,29
762,1,398
623,2,7197
860,1,49.6
811,1,300.1
616,1,1287
792,1,78
616,1,29.9
718,1,118
657,5,1128.4
681,1,3799
926,3,3278
791,2,164
706,4,385
964,1,169
692,1,69
775,1,108
813,1,169
650,1,54.5
649,1,518
811,1,49.6
779,1,2499
649,1,119
804,1,58
705,1,69
610,2,68.9
729,1,2450
680,1,3498
876,1,39.9
885,1,168
817,1,68
619,1,69
890,1,98.7
896,1,199
643,1,2788
808,1,3228
758,1,6188
680,1,107.9
720,5,5039.1
614,1,159
713,1,199
730,1,3597
773,1,46
798,1,279
901,1,26
876,1,4888
873,1,799
691,3,157.9
886,1,9.9
623,1,5999
734,1,478
729,1,272.5
689,2,1397
925,3,2302.5
777,1,2790
924,3,2403.9
861,1,9
865,1,29
752,1,88
714,2,68.3
731,1,39
627,1,45
755,1,79
609,1,71.6
755,1,49
609,1,3098
667,1,1076
687,1,1299
971,1,99
954,1,95
937,1,4800
919,1,25
770,1,298
823,1,39.9
889,1,3588
775,1,499
756,1,95
794,1,98.5
754,1,39
800,1,118
626,1,139
735,1,839
814,1,1868
780,1,2999
736,1,109
650,1,116.86
697,1,119
753,1,135
865,1,61.9
757,2,1796
715,1,99
864,1,99
893,1,29.9
681,2,7176
689,1,176
709,1,26
645,2,42
821,1,49
928,3,6901
817,1,104.4
705,1,104
798,1,116
773,1,848
660,1,89
750,1,95
685,1,1
791,1,10999
772,1,239
930,3,8507.9
771,1,139
870,1,299
779,1,3430
785,1,336
879,1,266
768,1,1398
655,1,136.9
810,1,5199
788,1,438
651,1,348
714,1,2399
872,1,204
701,1,19.9
803,1,6488
734,2,442.8
892,1,429
811,1,39
920,4,5036.6
772,1,141
914,4,1675
680,1,198
868,1,149
705,1,404
866,1,15159
887,1,29.9
727,2,118
928,3,520
770,1,99.2
679,1,1878
918,4,432.9
612,1,3699
898,1,55
684,3,1185
719,1,9.9
797,1,99
730,2,192
755,1,2496
713,1,159
612,1,29.9
701,1,3999
927,3,4714.9
733,1,617
678,1,1899
759,1,9
916,4,8022.1
649,1,11
802,1,158
883,1,113.7
965,1,299
948,1,3148
930,1,29
913,1,1399
793,1,299
688,1,328
728,1,269
725,5,15786
695,1,29.9
812,1,289
808,1,39
631,1,99
687,1,96
883,1,248
704,2,154
831,1,299
748,1,4288
900,11,7741
928,3,4261
697,1,219
616,1,129
725,1,99
729,1,599
703,1,98
779,1,290.03
875,1,3366
764,1,29
724,1,798
889,1,249
890,1,109
807,1,1178
882,1,582.02
897,1,51
876,1,39
616,1,39
810,1,320
914,4,2739.9
754,5,7057
769,1,69
708,1,899
609,1,46
760,1,128
762,1,138
868,1,666
609,1,39.9
884,1,4299
627,1,59
609,31,52085
810,1,537.9
775,1,198
926,3,3291
870,1,59
648,2,58
730,1,79
881,1,149
615,1,39
722,1,299
610,1,319
734,1,598
918,4,687
761,1,1098
881,1,99
667,9,9318.1
920,4,7946.6
879,1,119.8
662,1,20.9
900,11,10109
799,1,59
777,1,44.9
866,1,69
697,1,39
817,1,198
929,3,795
878,1,3590
884,1,149.5
702,1,469
874,1,239
804,1,39.9
756,1,9.9
734,1,9.9
928,3,156.2
609,1,158
894,1,248
806,1,98
761,1,4288
883,1,9.9
782,1,99
824,1,3629
664,1,1449
868,1,1699
615,2,493
744,1,699
662,4,14705
618,2,268
885,1,19.9
617,1,119
880,1,319
817,1,399
864,1,39
710,1,99
892,1,3699
694,1,299
724,1,3788
899,1,1469
878,1,39
630,5,3750
668,8,11005
890,1,2199
752,1,336
629,1,2769
805,1,89
697,1,598
647,1,23
689,1,4898
785,1,169
612,5,4285
804,1,399
813,1,2499
896,1,289
738,1,2790
823,1,19
731,1,399
754,1,89
626,1,129
659,1,4166
684,1,1899
810,1,39.9
802,1,6488
737,1,288
701,1,946
864,2,298
783,1,8990
629,1,198
734,1,1349
881,1,578
913,4,9295.9
647,3,2428
711,2,10488
706,1,466
653,1,1199
929,3,15299
716,1,59
924,3,2026
746,1,3799
686,1,293
877,1,375
680,1,299
928,3,2011.5
723,1,69
886,1,897
865,1,89
629,1,26.9
667,14,10007.9
623,1,63
631,1,6688
759,1,39.8
871,1,156
821,1,238
824,1,12.9
647,1,278
771,1,16.9
759,1,1599
656,1,1799
696,1,2468
919,4,2336
794,1,3099
779,1,99
884,1,39
726,1,2988
836,1,71.2
721,2,174
624,30,18103
925,3,194.9
730,1,299
769,1,289
871,1,29.5
892,1,39
816,1,96
784,1,69
690,1,139
657,2,128
873,1,73
782,1,59.9
679,1,95
810,1,121.5
616,1,97
807,1,2999
896,1,329
811,1,39
627,1,199
730,1,39
628,1,132.6
655,1,20.2
609,1,18
700,1,59
663,1,2998
752,1,50
704,1,349
732,1,19
610,2,464
716,1,1799
713,1,308
653,1,96
609,1,269
926,3,2516
609,1,11
739,1,179
811,1,3588
751,1,6499
694,2,7154
630,1,59
679,1,4668
890,1,483.2
920,4,2627.1
761,1,198
655,1,2039
609,4,598.7
869,1,799
887,1,159
799,1,11
919,4,176
622,1,199
926,3,234.9
860,1,4599
825,16,19917
718,1,19
890,1,7899
713,2,33.8
736,1,859
646,1,219
611,1,5
883,1,599
740,1,79
616,1,129
921,4,8654
922,3,8684
821,1,109
826,16,6083.9
611,1,99
648,1,145
609,1,59
667,9,11817.9
896,1,68
759,1,299
649,1,139
651,1,5399
915,4,2171
613,2,128
900,11,7072.9
612,1,19.9
751,1,40
687,1,2788
720,1,59
681,1,109
659,1,459
891,1,6349
745,1,2799
812,1,89
754,1,89
761,1,39.9
618,1,4188
803,1,96
793,2,4367.8
646,1,4288
741,1,1988
658,1,19
885,1,99
785,1,2799
892,1,55
706,1,808
620,1,1898
802,1,1399
906,16,21042.1
701,1,49
915,4,935.5
782,1,1
776,1,99
887,1,105.8
747,5,1334.2
615,1,289
929,3,8316.9
667,9,5839.93
666,1,7178
767,1,99
614,1,99
694,2,5503
723,1,5288
727,1,7498
627,1,79
868,1,29
747,1,95
611,1,250.9
723,1,59
627,1,338
694,1,217
772,1,119
735,1,577
692,1,99
732,1,409
777,2,5257
662,1,2427
880,1,499
627,1,147
794,1,3333
741,1,2469
781,1,49.3
630,2,110
784,1,19.9
741,1,3169
814,1,409
727,1,57
705,1,28.6
646,1,99
727,1,7599
793,1,139
706,1,288
816,1,29
792,1,857.9
623,1,599
913,4,467.1
609,1,5399
966,1,299
799,1,8489
798,1,3242
813,1,2698
741,3,8395
655,1,399
625,1,3899
652,1,29.9
721,1,11.1
888,1,299
749,2,225.9
614,1,1838
930,3,347
810,1,44.9
630,1,3199
685,1,5766
863,1,96
731,1,9
622,1,165
667,9,9981.2
721,1,598
794,1,18
657,2,716
735,1,98
899,1,699
683,1,33
651,1,387
795,1,239
780,1,108
646,1,164
615,1,6748
920,4,546.2
699,1,39.9
615,5,2363.9
898,1,119
889,1,99
798,1,398
925,3,209
816,3,4362
759,1,12187
717,1,112
716,1,6468
749,1,3799
889,1,99
763,1,39
785,4,10283
736,1,99
627,1,41
744,1,7799
615,1,502
823,1,29.9
816,4,2046
894,1,45
702,1,199
681,1,4499
679,1,979
662,1,3588
737,1,227
927,3,1951
658,1,1188
661,1,87
873,1,79
658,3,12402
731,1,158
810,1,19
764,2,6048
622,1,38
746,1,699
695,1,3588
868,1,118
694,1,298
762,1,149
863,1,53
726,1,5098
864,1,189
716,1,169
866,1,99.8
613,1,3999
825,16,13145.1
715,2,3096
861,1,99
658,1,799
798,1,1999
689,1,99
927,3,4073
815,1,338
653,1,899
900,11,19419.7
697,1,359.8
930,3,2757
612,1,199
616,1,99
678,1,96
688,1,99
715,1,89
875,1,1537
709,1,899
795,1,297
620,1,1788
805,1,69
760,1,88
697,1,579
679,1,1399
884,1,248
921,4,7294.5
685,1,860
864,1,11.1
799,1,59
735,2,218
865,1,3099
611,1,3388
814,1,88
923,3,873.7
709,1,99
924,3,8339
625,2,38
724,2,270
767,1,1999
823,1,15880
613,1,26
806,1,100
754,1,99
806,1,502
709,1,2806
649,1,199
704,1,145
767,1,75
797,1,108
741,1,3299
928,3,3913.4
877,1,230
688,1,358
809,1,31.9
765,1,310
615,1,144
906,13,15300
780,1,163
658,1,199
785,1,199
796,2,2196
785,1,196
667,9,2845.5
645,1,3588
814,1,49
767,1,1877
860,1,118
871,1,12.9
886,4,1142
655,1,99
798,1,89
743,1,494
891,1,6199
928,3,263
614,1,1999
797,2,7176
762,1,1299
632,1,95
626,1,178
705,1,3899
702,1,99
869,1,98
896,1,4199
781,1,1056
703,1,39.9
924,3,604.9
706,1,580
624,2,59
650,1,138
772,2,6376
788,1,104
718,1,3488
867,1,99
885,1,1999
809,1,99
659,1,59
916,4,7694
725,1,518
868,1,2888
803,1,78.9
722,2,347
897,1,259
768,1,4748
611,4,3821
654,1,399
678,2,798
695,1,98
876,1,398
733,1,148
611,2,16887
778,1,2199
692,1,79
749,1,588
661,1,179
867,1,495
704,1,69
870,1,49
929,3,3808.1
645,1,499
802,1,4288
917,4,886.1
683,1,39
666,1,9.9
754,1,1399
813,1,18
700,2,3844
772,1,6589
621,1,3066
928,3,6133.8
751,1,2199
749,1,352
878,1,11097
868,1,128
688,1,479
734,1,49
811,1,89
786,1,312
799,1,139
775,1,99
620,1,249
783,1,108
824,1,29
784,1,98
625,1,5618
739,1,78
791,1,899
654,4,29440.3
648,1,268
692,1,99
878,1,269
785,1,3049
625,2,3798
697,2,7176
705,1,199
680,1,99
698,1,3099
927,3,676.9
794,1,396
742,1,22
923,3,13496.5
647,5,5156
768,1,95
799,1,2498
620,1,65
609,1,999
927,3,220.4
735,1,596
614,1,2666
628,1,88
685,1,699
745,5,3591
872,1,129
804,1,89
624,1,769
751,2,1391
811,1,2398
695,1,339
748,1,89
687,1,1088
718,1,369
666,1,96
734,1,889
803,1,119
616,2,248.9
824,1,59
734,1,269
880,1,289
739,1,49.9
707,1,36
921,4,13157.1
765,1,95
805,1,557
756,1,27.9
696,1,3188
818,1,69
632,1,999
756,1,159
816,1,2038
759,1,89
796,1,1988
704,1,1199
664,2,84.8
864,1,3198
819,1,9.9
733,1,12750
715,1,278
710,1,9
894,1,668
629,1,359
680,1,33
745,1,9199
892,1,129
813,1,3588
861,1,39.9
682,1,19.9
914,4,9924
616,1,125
861,1,6490
767,1,99.5
757,1,99
711,1,3721
866,2,2596
714,1,368
609,1,20.1
737,1,2021.9
878,1,2699
764,1,476
611,1,29
796,1,1
813,1,269
762,1,96
691,1,378
811,1,2800
782,1,2787
746,1,10488
783,1,3799
711,1,3799
630,5,2001.9
694,3,147
788,1,1238
736,1,639
916,4,10614.6
616,1,85
812,2,178
736,1,19.8
823,1,95
872,1,3799
810,1,3049
757,1,29
645,1,2699
621,1,49.6
790,1,5299
724,1,39
648,1,7597
622,3,7593
782,1,69
863,1,534.9
896,1,99
643,1,1445
696,2,1112
696,5,776.9
687,2,198
711,15,10105.2
797,1,12596
818,1,58.9
621,1,599
745,1,299
894,1,2999
717,1,58
762,1,1849
914,4,3795.9
888,1,95
866,1,658
609,1,2399
763,1,95
810,1,387
708,1,48
694,2,7176
685,1,59
925,3,3697.1
924,3,340
921,4,581
737,1,3588
686,1,2888
702,1,95
629,1,25
920,4,4525.9
753,1,3119
824,1,463
861,1,96
888,1,659
782,1,8389
685,1,59
666,1,119
897,1,3588
746,1,4888
819,1,128
899,1,1249
721,1,96
782,1,139
892,1,1010
694,1,29
893,1,3469
803,1,3588
688,1,9499
821,1,239
823,1,96
736,1,22
680,1,98
794,1,1238
649,1,165
617,2,250.8
782,1,1388
632,1,3199
809,1,2199
631,1,198
802,1,998
890,1,417.9
699,2,638
651,1,89
753,1,1168
810,1,39
782,1,69.9
720,1,288
880,1,859
813,1,999
918,4,8425.9
722,1,3699
811,1,21
793,1,199
916,4,3075
625,1,168
665,1,99
806,1,238
735,2,149
786,1,445
820,1,188
615,1,4088
664,1,1799
760,1,29
793,5,4350.3
763,1,99
764,2,12588
774,1,3799
730,3,555
788,1,39
824,1,97
884,1,3398
800,1,86
678,1,159
692,1,1599
811,1,75
888,1,249
646,1,108
879,1,103
708,1,240
927,3,3108.1
707,1,1999
610,2,28996
763,1,198
746,1,39.9
920,4,4914.9
766,1,38
896,1,355
665,2,1232
875,1,3588
662,1,3049
615,2,814
766,1,55
663,1,109
716,1,398
881,1,158
705,1,268
897,1,2005
825,16,24324.1
626,1,119
700,1,32
763,1,49
880,1,699
734,1,50
645,1,49
889,1,3228
762,1,109
864,1,530.9
663,1,799
705,1,9.9
889,1,4299
887,1,399
802,1,2588
822,1,899
809,1,94
656,1,193
757,1,21
897,1,11999
822,1,3588
609,2,25135
799,1,103
755,1,35.9
728,1,213.3
747,1,456
625,1,498
874,1,104
678,1,890
798,1,79
690,1,299
824,1,19.9
900,11,4810.3
806,1,2680
682,1,3188
764,1,2078
892,1,2399
781,1,3966
818,1,99.8
610,1,78
811,1,79
813,1,44
622,1,405.9
696,1,73.8
717,1,2388
776,1,96
913,4,1152
609,1,99
693,1,4698
735,1,39
878,4,1399
704,1,79
628,2,179.8
696,2,195
723,1,59
919,4,1343.1
735,1,199
787,1,2969
645,2,27.3
753,1,1958
869,1,89
688,1,1599
879,1,1358
889,1,8489
721,2,317
726,2,267
616,1,96
923,3,3372
706,1,99
727,17,10788.1
765,1,99
868,2,3845
744,1,69
772,1,99
625,1,3199
643,1,69
733,1,219
743,1,96
752,1,49.2
798,4,1575
614,1,488
702,1,172
629,1,2688
837,1,98
805,1,243
756,1,4188
813,1,99
657,1,228.9
658,1,39.9
890,1,22.9
713,1,11
775,1,2199
647,2,864.9
645,1,2788
625,1,49.9
727,1,96
676,1,2999
674,1,69
673,2,1077
672,1,105.9
671,1,379
873,1,796
898,1,99
759,1,49
614,2,657
670,1,2299
765,1,379
729,1,4288
870,5,11628.9
740,1,1079
622,4,948
735,1,4288
805,1,4288
692,1,2860
661,1,189
669,1,5
668,1,2189
796,1,99
825,16,10238.8
692,1,109
888,1,109
805,1,58
737,1,99
621,2,208.4
706,1,3899
623,2,434
922,3,6146
890,1,779
869,1,3588
719,1,379
879,1,159
865,1,111.9
892,1,199
679,1,49.9
915,4,8108.7
615,1,3788
621,1,6199
888,1,95.9
805,1,399
897,1,69
892,1,4288
726,1,99
810,1,198
852,73,66807.2
661,1,99
805,1,1399
684,1,5360
715,1,308
653,1,79
759,1,274
666,1,189
822,1,220
694,10,13281
894,1,39
906,14,17016.7
700,1,638
663,2,2486
750,1,4888
730,1,27.9
618,1,276
860,1,3588
878,1,188
694,2,238
649,1,49
874,1,199
775,1,5580
756,1,529
667,9,10689.8
659,1,69
865,1,92
802,1,99
919,4,1446
727,1,399
919,4,384
816,1,39
922,3,12997
717,1,299
611,1,999
616,1,8.8
704,1,39
677,1,79
860,1,3588
732,1,77.9
865,1,96
660,1,369
790,1,179
899,1,18.9
881,1,2088
748,1,96
657,1,3
895,1,31.9
694,1,113.4
795,1,99
737,1,35.8
684,1,99
891,1,119
614,1,4398
700,1,1999
652,2,186.6
683,17,8641.9
660,1,45
723,1,1199
804,1,1448
695,1,129
890,1,109
699,1,49
927,3,15078
920,4,999
631,1,208.7
881,1,715
710,1,3588
760,1,5288
748,1,182
812,1,189
785,1,4698
888,1,989
788,1,26
648,1,398
750,1,1199
762,2,3598
917,4,791.1
880,1,599
822,1,368
782,1,399
817,1,69
715,1,69.9
615,1,261.6
778,1,69
724,1,3588
691,1,1099
755,1,3588
864,1,3588
789,1,139
744,2,5398
759,1,158.3
825,16,25618.9
762,1,14916
887,1,32.8
889,1,3999
923,3,116.9
630,1,98
698,1,110.4
864,1,88
687,2,458
650,2,219.7
799,1,39
621,1,1626
720,1,8996
727,1,199
716,1,2299
740,2,414
713,1,2688
683,1,4599
684,1,199
928,3,5336
734,1,3099
625,2,88.9
710,1,59
769,1,5799
876,1,3588
714,1,98.7
649,3,50.8
650,1,299
721,17,17189.9
655,1,3999
860,1,999
629,1,29
696,1,859
793,1,3598
863,1,959
762,1,2948
770,1,129
712,1,88
874,1,3268
899,1,128
700,1,4288
821,1,199
882,1,2988
883,1,1699
874,1,38
803,1,3699
810,1,3588
777,1,3788
652,1,399
654,1,1217
628,1,5588
656,1,896
648,1,7899
915,4,459.8
609,1,3236.1
630,2,317
924,3,2131.9
928,3,13774
712,1,63
819,1,395
821,1,198
694,3,616
898,1,3079
771,1,10400
613,1,299
656,1,198
663,1,130
788,1,341.8
620,1,99
666,1,78
887,1,3333
707,1,2080
630,1,999
645,1,88
621,1,4007
714,1,4290.9
821,1,4288
730,1,1898
618,1,99
796,1,1999
618,5,137
876,1,1198
791,1,98
799,1,45
772,1,208
792,1,239
664,5,5005.4
710,1,229
889,1,65
736,1,139
807,1,39
788,1,99
876,1,98
890,1,314.2
708,1,1499
618,1,1999
793,1,79
810,1,598
697,1,3588
656,2,7176
871,1,498
752,1,3579
713,3,10764
714,1,3588
930,3,11236
810,1,420
655,1,3588
718,1,179
691,1,355
919,4,6006.9
770,1,89
655,1,18
808,1,99
735,1,3588
728,1,39
682,1,49
631,1,55
914,4,3884
788,1,48
768,1,239
918,4,6494
696,1,299
824,1,4599
730,1,47.5
767,1,3179
793,1,2588
880,1,3459
809,2,87.9
791,1,275
880,1,898
819,1,2199
914,4,5992
872,1,799
626,1,598
788,1,4798
790,1,21
928,3,3891.9
720,1,29
630,1,580
744,1,448
747,1,3588
613,1,139
738,1,358
782,1,110
825,16,7698.6
754,1,2067
709,5,313
897,1,99
773,1,1198
611,1,198
724,1,999
703,1,39
685,1,39
754,4,1586.9
664,1,3388
920,4,1859.9
694,2,3557
753,1,129
929,3,1593.1
764,1,979
870,1,32.8
696,1,1838
791,1,2486
624,1,3588
899,1,59
816,1,199
896,1,260
713,1,3588
863,1,3399
630,1,3588
810,1,79
618,5,522
620,10,6576.8
710,6,2321
630,3,815
799,1,528
614,2,11999
682,1,199
718,1,49
677,1,289
658,2,198
788,1,4888
725,1,240
661,1,34.9
890,1,3799
765,1,235.9
791,1,9.9
685,1,398
655,1,96
825,16,20586
